Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Khi Cơn Mơ Dần Phai (feat. Tez & Myra Trần),"RAP VIỆT, Tez, Myra Trần",Rap Việt Mùa 3 (2023) - Tập 15,1lnPHL09vpRyA9ktF7UJbl,486dVHo58R4EhBQjcYF2NX,53,2023-09-03,195841,False,https://open.spotify.com/track/486dVHo58R4EhBQjcYF2NX,0.775,0.748,0,-5.049,1,0.0545,0.216,6.8e-05,0.126,0.288,124.922
Chỉ Một Đêm Nữa Thôi,"RPT MCK, tlinh",99%,1vi1WySkgPGkbR8NnQzlXu,28bxbqNcAuNxYDZYet6eZ7,62,2023-03-02,141760,True,https://open.spotify.com/track/28bxbqNcAuNxYDZYet6eZ7,0.669,0.773,10,-8.182,1,0.108,0.13,4.01e-05,0.0838,0.358,170.085
Miên Man,Minh Huy,Miên Man,4z7HfTeYfrAUm4e84Y1oPw,7tFwBnuaGXqiiONukPRaCo,64,2022-06-24,197999,False,https://open.spotify.com/track/7tFwBnuaGXqiiONukPRaCo,0.772,0.519,9,-10.351,1,0.0409,0.639,0.00203,0.101,0.628,120.038
lời tạm biệt chưa nói,"GREY D, Orange, Kai Đinh",Hương Mùa Hè,1w74ARpNNB3ybFNhs4qWmV,3AejRjgBsFV4HWHjJmmEP7,59,2022-07-24,259115,False,https://open.spotify.com/track/3AejRjgBsFV4HWHjJmmEP7,0.516,0.254,9,-10.353,1,0.0329,0.858,7.44e-06,0.158,0.255,112.812
Don't Côi,"RPT Orijinn, Ronboogz",Don't Côi,2gaxwzgOYY6DxVicv6EGkC,3ukrFH17Zl6iEZ2QJ1Zwiy,63,2022-11-20,148880,True,https://open.spotify.com/track/3ukrFH17Zl6iEZ2QJ1Zwiy,0.808,0.41,2,-10.981,0,0.105,0.816,0.0,0.102,0.361,110.079
Có Em Chờ,"MIN, Mr A",Có Em Chờ,4sGpyoqy3sQuSSQy9qJHvG,3z7at2LZwJsg8UvqGw3JAv,57,2017-05-10,234000,False,https://open.spotify.com/track/3z7at2LZwJsg8UvqGw3JAv,0.556,0.657,4,-4.98,1,0.221,0.624,0.0,0.0909,0.555,79.873
Hư không,Kha,tình,3OHwEMy3p3ZczW3L62lZbv,3A9A7mfVDVm3rrS9SMGhg5,64,2023-12-14,354783,False,https://open.spotify.com/track/3A9A7mfVDVm3rrS9SMGhg5,0.695,0.44,6,-8.482,1,0.0332,0.678,0.00137,0.103,0.225,115.009
2AM,"JustaTee, BigDaddy",2AM,2Ro0unf9MBJGvcLLfo7liZ,3DLtPObflLQBodZN8qGODT,60,2022-05-10,258281,False,https://open.spotify.com/track/3DLtPObflLQBodZN8qGODT,0.704,0.573,0,-7.032,0,0.0518,0.737,0.0,0.068,0.759,127.995
Anh Đánh Rơi Người Yêu Này,"Andiez, AMEE",Anh Đánh Rơi Người Yêu Này,1bcAQ84PmlX74hvGD403VV,5J90ah0ppUSev1uahqQiN6,60,2019-07-15,217745,False,https://open.spotify.com/track/5J90ah0ppUSev1uahqQiN6,0.518,0.741,4,-6.504,1,0.0679,0.619,5.44e-06,0.0978,0.307,84.96
Chuyện Đôi Ta (feat. Muộii),"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),5tFSjs5VsM2EwoA2Px6jqo,4CUvVaAYuXtvYURLFz7EIL,65,2021-12-01,208049,False,https://open.spotify.com/track/4CUvVaAYuXtvYURLFz7EIL,0.517,0.467,0,-7.222,1,0.0442,0.724,0.0,0.0908,0.453,199.815
